Method,Critical Temperature,Difference from Theory,Relative Error (%)
Specific Heat Peak,1.6420512755146741,0.897146820392516,120.43783792988478
Susceptibility Peak,0.49999999988792326,0.24490445523423482,32.877297692369496
Binder Cumulant Crossing,,,
Theoretical,0.7449044551221581,0.0,0.0
