	temp	m2	m4	g2	g4	e1	cv	corr
0	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	-1.000000e+00	
1	1.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
2	2.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
3	3.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
4	4.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
5	5.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
6	6.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
7	7.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
8	8.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
9	9.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
10	1.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
11	1.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
12	1.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
13	1.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
14	1.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
15	1.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
16	1.600000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
17	1.700000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
18	1.800000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
19	1.900000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
20	2.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
21	2.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
22	2.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
23	2.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
24	2.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
25	2.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
26	2.600000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
27	2.700000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
28	2.800000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
29	2.900000e-01	9.999924e-01	9.999851e-01	9.999923e-01	9.999923e-01	-1.999985e+00	9.758634e-04	3.944179e+16
30	3.000000e-01	9.999990e-01	9.999980e-01	9.999990e-01	9.999990e-01	-1.999998e+00	1.234259e-04	3.944179e+16
31	3.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
32	3.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
33	3.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
34	3.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
35	3.500000e-01	9.999988e-01	9.999976e-01	9.999987e-01	9.999987e-01	-1.999997e+00	1.088109e-04	3.944179e+16
36	3.600000e-01	9.999961e-01	9.999924e-01	9.999960e-01	9.999960e-01	-1.999992e+00	3.256130e-04	3.505937e+16
37	3.700000e-01	9.999961e-01	9.999924e-01	9.999961e-01	9.999961e-01	-1.999992e+00	3.082014e-04	3.505937e+16
38	3.800000e-01	9.999986e-01	9.999972e-01	9.999985e-01	9.999985e-01	-1.999997e+00	1.077139e-04	2.629453e+16
39	3.900000e-01	9.999928e-01	9.999859e-01	9.999927e-01	9.999927e-01	-1.999985e+00	5.111324e-04	2.191211e+16
40	4.000000e-01	9.999899e-01	9.999803e-01	9.999898e-01	9.999898e-01	-1.999980e+00	6.801687e-04	1.752968e+16
41	4.100000e-01	9.999860e-01	9.999727e-01	9.999858e-01	9.999858e-01	-1.999972e+00	8.981664e-04	1.314726e+16
42	4.200000e-01	9.999676e-01	9.999365e-01	9.999671e-01	9.999671e-01	-1.999934e+00	1.988205e-03	3.660712e+03
43	4.300000e-01	9.999731e-01	9.999474e-01	9.999727e-01	9.999727e-01	-1.999945e+00	1.572044e-03	1.314726e+16
44	4.400000e-01	9.999586e-01	9.999189e-01	9.999579e-01	9.999579e-01	-1.999916e+00	2.314028e-03	4.382421e+15
45	4.500000e-01	9.999446e-01	9.998915e-01	9.999438e-01	9.999438e-01	-1.999887e+00	2.958137e-03	2.281016e+03
46	4.600000e-01	9.999399e-01	9.998823e-01	9.999390e-01	9.999390e-01	-1.999878e+00	3.070317e-03	2.448042e+03
47	4.700000e-01	9.999182e-01	9.998400e-01	9.999169e-01	9.999169e-01	-1.999836e+00	4.027139e-03	1.753219e+03
48	4.800000e-01	9.998675e-01	9.997406e-01	9.998654e-01	9.998654e-01	-1.999731e+00	6.247004e-03	1.434258e+03
49	4.900000e-01	9.998320e-01	9.996710e-01	9.998294e-01	9.998294e-01	-1.999659e+00	7.544646e-03	1.198984e+03
50	5.000000e-01	9.997684e-01	9.995468e-01	9.997646e-01	9.997646e-01	-1.999534e+00	1.003653e-02	1.073503e+03
51	5.100000e-01	9.997519e-01	9.995139e-01	9.997479e-01	9.997479e-01	-1.999496e+00	1.028680e-02	9.701561e+02
