# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_000924
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 2/3
# System size: 32x32x3, Total sites: 3072
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 9.999913e-001 9.999826e-001 4.999956e-001 4.999956e-001 -3.999965e+000 1.483901e-003 7.815815e+004
5.100000e-001 9.999768e-001 9.999538e-001 4.999884e-001 4.999884e-001 -3.999907e+000 3.768119e-003 4.795110e+004
5.200000e-001 9.999826e-001 9.999652e-001 4.999913e-001 4.999913e-001 -3.999930e+000 2.734677e-003 5.526592e+004
5.300000e-001 9.999731e-001 9.999462e-001 4.999865e-001 4.999865e-001 -3.999892e+000 4.051611e-003 4.446543e+004
5.400000e-001 9.999581e-001 9.999163e-001 4.999790e-001 4.999790e-001 -3.999832e+000 6.035967e-003 3.565139e+004
5.500000e-001 9.999620e-001 9.999241e-001 4.999810e-001 4.999810e-001 -3.999848e+000 5.284423e-003 3.743811e+004
5.600000e-001 9.999400e-001 9.998802e-001 4.999700e-001 4.999700e-001 -3.999760e+000 8.155718e-003 2.978627e+004
5.700000e-001 9.999331e-001 9.998665e-001 4.999665e-001 4.999665e-001 -3.999732e+000 8.734145e-003 2.822753e+004
5.800000e-001 9.998945e-001 9.997893e-001 4.999472e-001 4.999472e-001 -3.999578e+000 1.354396e-002 2.271295e+004
5.900000e-001 9.999026e-001 9.998054e-001 4.999512e-001 4.999512e-001 -3.999610e+000 1.172955e-002 2.344747e+004
6.000000e-001 9.999045e-001 9.998093e-001 4.999522e-001 4.999522e-001 -3.999618e+000 1.214602e-002 2.337757e+004
6.100000e-001 9.998626e-001 9.997256e-001 4.999312e-001 4.999312e-001 -3.999450e+000 1.523251e-002 1.966277e+004
6.200000e-001 9.998313e-001 9.996631e-001 4.999156e-001 4.999156e-001 -3.999324e+000 1.903240e-002 1.768425e+004
