# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_000924
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 1/3
# System size: 16x16x3, Total sites: 768
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.100000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.200000e-001 9.999922e-001 9.999845e-001 4.999961e-001 4.999961e-001 -3.999969e+000 1.231817e-003 2.074782e+004
5.300000e-001 9.999974e-001 9.999948e-001 4.999987e-001 4.999987e-001 -3.999990e+000 3.954551e-004 3.593638e+004
5.400000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.500000e-001 9.999927e-001 9.999855e-001 4.999964e-001 4.999964e-001 -3.999971e+000 1.027747e-003 2.147604e+004
5.600000e-001 9.999969e-001 9.999938e-001 4.999984e-001 4.999984e-001 -3.999988e+000 4.250425e-004 3.280527e+004
5.700000e-001 9.999626e-001 9.999257e-001 4.999812e-001 4.999812e-001 -3.999850e+000 4.906864e-003 9.469902e+003
5.800000e-001 9.999964e-001 9.999928e-001 4.999982e-001 4.999982e-001 -3.999985e+000 4.622506e-004 3.037177e+004
5.900000e-001 9.999907e-001 9.999814e-001 4.999953e-001 4.999953e-001 -3.999962e+000 1.148061e-003 1.894007e+004
6.000000e-001 9.999896e-001 9.999794e-001 4.999948e-001 4.999948e-001 -3.999958e+000 1.233333e-003 1.796812e+004
6.100000e-001 9.999787e-001 9.999577e-001 4.999893e-001 4.999893e-001 -3.999915e+000 2.443546e-003 1.254941e+004
6.200000e-001 9.999881e-001 9.999763e-001 4.999940e-001 4.999940e-001 -3.999952e+000 1.328104e-003 1.675534e+004
6.300000e-001 9.999720e-001 9.999443e-001 4.999859e-001 4.999859e-001 -3.999887e+000 3.015268e-003 1.093495e+004
6.400000e-001 9.999652e-001 9.999308e-001 4.999826e-001 4.999826e-001 -3.999860e+000 3.622805e-003 9.816912e+003
6.500000e-001 9.999658e-001 9.999319e-001 4.999828e-001 4.999828e-001 -3.999862e+000 3.459945e-003 9.891006e+003
6.600000e-001 9.999803e-001 9.999608e-001 4.999901e-001 4.999901e-001 -3.999921e+000 1.934894e-003 1.303538e+004
6.700000e-001 9.999108e-001 9.998225e-001 4.999552e-001 4.999552e-001 -3.999642e+000 8.441415e-003 6.126836e+003
6.800000e-001 9.999502e-001 9.999009e-001 4.999750e-001 4.999750e-001 -3.999800e+000 4.591465e-003 8.201125e+003
6.900000e-001 9.999772e-001 9.999546e-001 4.999885e-001 4.999885e-001 -3.999908e+000 2.049205e-003 1.211403e+004
7.000000e-001 9.999087e-001 9.998183e-001 4.999542e-001 4.999542e-001 -3.999633e+000 7.911619e-003 6.056806e+003
