# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_003802
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 3/3
# System size: 32x32x3, Total sites: 3072
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 9.999879e-001 9.999758e-001 4.999939e-001 4.999939e-001 -3.999952e+000 2.057057e-003 6.633908e+004
5.100000e-001 9.999766e-001 9.999532e-001 4.999883e-001 4.999883e-001 -3.999909e+000 3.876419e-003 4.481661e+004
5.200000e-001 9.999755e-001 9.999512e-001 4.999878e-001 4.999878e-001 -3.999902e+000 4.155013e-003 4.500767e+004
5.300000e-001 9.999791e-001 9.999582e-001 4.999895e-001 4.999895e-001 -3.999916e+000 3.158577e-003 5.041921e+004
5.400000e-001 9.999763e-001 9.999527e-001 4.999882e-001 4.999882e-001 -3.999905e+000 3.435906e-003 4.742122e+004
5.500000e-001 9.999698e-001 9.999397e-001 4.999849e-001 4.999849e-001 -3.999879e+000 4.211365e-003 4.200133e+004
5.600000e-001 9.999681e-001 9.999364e-001 4.999840e-001 4.999840e-001 -3.999872e+000 4.641418e-003 4.059592e+004
5.700000e-001 9.999558e-001 9.999117e-001 4.999779e-001 4.999779e-001 -3.999823e+000 5.769861e-003 3.454420e+004
5.800000e-001 9.999348e-001 9.998698e-001 4.999674e-001 4.999674e-001 -3.999741e+000 8.330439e-003 2.823757e+004
5.900000e-001 9.999247e-001 9.998496e-001 4.999623e-001 4.999623e-001 -3.999698e+000 9.164640e-003 2.654204e+004
6.000000e-001 9.999309e-001 9.998620e-001 4.999654e-001 4.999654e-001 -3.999723e+000 8.254660e-003 2.756846e+004
6.100000e-001 9.999112e-001 9.998225e-001 4.999555e-001 4.999556e-001 -3.999644e+000 9.968580e-003 2.448977e+004
6.200000e-001 9.998870e-001 9.997743e-001 4.999434e-001 4.999434e-001 -3.999551e+000 1.284486e-002 2.126421e+004
6.300000e-001 9.998763e-001 9.997529e-001 4.999381e-001 4.999381e-001 -3.999505e+000 1.284651e-002 2.070300e+004
6.400000e-001 9.999082e-001 9.998166e-001 4.999540e-001 4.999540e-001 -3.999634e+000 9.620223e-003 2.383677e+004
