# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_003847
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 1/3
# System size: 24x24x3, Total sites: 1728
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 9.999901e-001 9.999802e-001 4.999950e-001 4.999950e-001 -3.999960e+000 1.695113e-003 4.121014e+004
5.100000e-001 9.999912e-001 9.999825e-001 4.999956e-001 4.999956e-001 -3.999965e+000 1.440198e-003 4.383760e+004
5.200000e-001 9.999817e-001 9.999636e-001 4.999909e-001 4.999909e-001 -3.999927e+000 2.874130e-003 3.040345e+004
5.300000e-001 9.999859e-001 9.999719e-001 4.999929e-001 4.999929e-001 -3.999944e+000 2.138240e-003 3.459971e+004
5.400000e-001 9.999836e-001 9.999673e-001 4.999918e-001 4.999918e-001 -3.999934e+000 2.396245e-003 3.207065e+004
5.500000e-001 9.999774e-001 9.999548e-001 4.999887e-001 4.999887e-001 -3.999909e+000 3.183995e-003 2.729748e+004
5.600000e-001 9.999702e-001 9.999405e-001 4.999851e-001 4.999851e-001 -3.999881e+000 4.036531e-003 2.379245e+004
5.700000e-001 9.999695e-001 9.999391e-001 4.999847e-001 4.999847e-001 -3.999878e+000 3.986147e-003 2.352052e+004
5.800000e-001 9.999649e-001 9.999299e-001 4.999824e-001 4.999824e-001 -3.999862e+000 4.474096e-003 2.111455e+004
5.900000e-001 9.999494e-001 9.998990e-001 4.999747e-001 4.999747e-001 -3.999797e+000 6.145586e-003 1.826028e+004
6.000000e-001 9.999533e-001 9.999069e-001 4.999766e-001 4.999766e-001 -3.999813e+000 5.485865e-003 1.901317e+004
6.100000e-001 9.999575e-001 9.999152e-001 4.999787e-001 4.999787e-001 -3.999830e+000 4.838927e-003 1.992151e+004
6.200000e-001 9.999575e-001 9.999152e-001 4.999787e-001 4.999787e-001 -3.999830e+000 4.684092e-003 1.992151e+004
