	temp	m2	m4	g2	g4	e1	cv	corr
0	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	-1.000000e+00	
1	1.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
2	2.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
3	3.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
4	4.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
5	5.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
6	6.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
7	7.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
8	8.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
9	9.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
10	1.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
11	1.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
12	1.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
13	1.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
14	1.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
15	1.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
16	1.600000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
17	1.700000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
18	1.800000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
19	1.900000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
20	2.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
21	2.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
22	2.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
23	2.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
24	2.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
25	2.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
26	2.600000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
27	2.700000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
28	2.800000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
29	2.900000e-01	9.999996e-01	9.999992e-01	9.999996e-01	9.999996e-01	-1.999999e+00	5.282600e-05	5.917775e+16
30	3.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
31	3.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	6.575305e+16
32	3.200000e-01	9.999994e-01	9.999988e-01	9.999994e-01	9.999994e-01	-1.999999e+00	6.507108e-05	5.260244e+16
33	3.300000e-01	9.999999e-01	9.999999e-01	9.999999e-01	9.999999e-01	-2.000000e+00	5.101265e-06	5.917775e+16
34	3.400000e-01	9.999984e-01	9.999968e-01	9.999984e-01	9.999984e-01	-1.999997e+00	1.488786e-04	3.945183e+16
35	3.500000e-01	9.999986e-01	9.999972e-01	9.999986e-01	9.999986e-01	-1.999997e+00	1.291941e-04	4.602714e+16
36	3.600000e-01	9.999972e-01	9.999945e-01	9.999972e-01	9.999972e-01	-1.999994e+00	2.269811e-04	4.602714e+16
37	3.700000e-01	9.999955e-01	9.999911e-01	9.999955e-01	9.999955e-01	-1.999991e+00	3.487083e-04	1.315061e+16
38	3.800000e-01	9.999957e-01	9.999913e-01	9.999956e-01	9.999956e-01	-1.999991e+00	3.229067e-04	1.315061e+16
39	3.900000e-01	9.999927e-01	9.999855e-01	9.999927e-01	9.999927e-01	-1.999985e+00	5.107642e-04	6.575305e+15
40	4.000000e-01	9.999879e-01	9.999758e-01	9.999878e-01	9.999878e-01	-1.999976e+00	8.110194e-04	1.952597e+04
41	4.100000e-01	9.999840e-01	9.999681e-01	9.999839e-01	9.999839e-01	-1.999968e+00	1.026021e-03	1.817623e+04
42	4.200000e-01	9.999761e-01	9.999525e-01	9.999761e-01	9.999761e-01	-1.999952e+00	1.444995e-03	1.243514e+04
43	4.300000e-01	9.999681e-01	9.999366e-01	9.999680e-01	9.999680e-01	-1.999936e+00	1.855974e-03	1.128877e+04
44	4.400000e-01	9.999447e-01	9.998900e-01	9.999445e-01	9.999445e-01	-1.999890e+00	3.051285e-03	8.331886e+03
45	4.500000e-01	9.999443e-01	9.998893e-01	9.999441e-01	9.999441e-01	-1.999888e+00	2.958964e-03	8.190023e+03
46	4.600000e-01	9.999238e-01	9.998485e-01	9.999235e-01	9.999235e-01	-1.999848e+00	3.836971e-03	6.611401e+03
47	4.700000e-01	9.999075e-01	9.998161e-01	9.999072e-01	9.999072e-01	-1.999814e+00	4.441182e-03	6.118130e+03
48	4.800000e-01	9.998753e-01	9.997519e-01	9.998748e-01	9.998748e-01	-1.999750e+00	5.767585e-03	5.243438e+03
49	4.900000e-01	9.998261e-01	9.996539e-01	9.998254e-01	9.998254e-01	-1.999652e+00	7.729035e-03	4.455327e+03
50	5.000000e-01	9.998178e-01	9.996375e-01	9.998170e-01	9.998170e-01	-1.999634e+00	7.892788e-03	4.340211e+03
51	5.100000e-01	9.997824e-01	9.995672e-01	9.997815e-01	9.997815e-01	-1.999567e+00	8.956421e-03	3.896781e+03
52	5.200000e-01	9.997253e-01	9.994535e-01	9.997242e-01	9.997242e-01	-1.999453e+00	1.077287e-02	3.486618e+03
53	5.300000e-01	9.996200e-01	9.992442e-01	9.996184e-01	9.996184e-01	-1.999244e+00	1.470953e-02	2.928300e+03
54	5.400000e-01	9.995665e-01	9.991378e-01	9.995646e-01	9.995646e-01	-1.999139e+00	1.595279e-02	2.745919e+03
55	5.500000e-01	9.994894e-01	9.989845e-01	9.994872e-01	9.994872e-01	-1.998984e+00	1.814064e-02	2.531560e+03
56	5.600000e-01	9.994230e-01	9.988526e-01	9.994206e-01	9.994209e-01	-1.998851e+00	1.972086e-02	2.377533e+03
57	5.700000e-01	9.992711e-01	9.985505e-01	9.992680e-01	9.992680e-01	-1.998550e+00	2.414546e-02	2.116060e+03
58	5.800000e-01	9.991655e-01	9.983410e-01	9.991621e-01	9.991618e-01	-1.998351e+00	2.722479e-02	1.948126e+03
59	5.900000e-01	9.990195e-01	9.980509e-01	9.990153e-01	9.990152e-01	-1.998060e+00	3.055362e-02	1.798261e+03
60	6.000000e-01	9.988862e-01	9.977858e-01	9.988813e-01	9.988817e-01	-1.997789e+00	3.375029e-02	1.700010e+03
61	6.100000e-01	9.986237e-01	9.972646e-01	9.986175e-01	9.986180e-01	-1.997277e+00	4.058042e-02	1.520608e+03
62	6.200000e-01	9.984576e-01	9.969347e-01	9.984514e-01	9.984512e-01	-1.996944e+00	4.362213e-02	1.437513e+03
63	6.300000e-01	9.982315e-01	9.964859e-01	9.982242e-01	9.982240e-01	-1.996501e+00	4.874447e-02	1.333178e+03
64	6.400000e-01	9.979069e-01	9.958415e-01	9.978983e-01	9.978978e-01	-1.995877e+00	5.505829e-02	1.217132e+03
65	6.500000e-01	9.976361e-01	9.953047e-01	9.976265e-01	9.976262e-01	-1.995349e+00	6.117618e-02	1.142568e+03
66	6.600000e-01	9.972178e-01	9.944747e-01	9.972090e-01	9.972055e-01	-1.994525e+00	6.936687e-02	1.057178e+03
