	temp	m2	m4	g2	g4	e1	cv	corr
0	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	-1.000000e+00	
1	1.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
2	2.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
3	3.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
4	4.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
5	5.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
6	6.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
7	7.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
8	8.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
9	9.000000e-02	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
10	1.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
11	1.100000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
12	1.200000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
13	1.300000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
14	1.400000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
15	1.500000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
16	1.600000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
17	1.700000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
18	1.800000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
19	1.900000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
20	2.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	2.456717e+16
